school_name,school_description,school_latitude,school_longtitude,school_link
Arts University Bournemouth,"Established:  1885 Arts University Bournemouth is a further and higher education university based in Poole, United Kingdom specialising in arts, performance, design, and media. In November 2012, the University also celebrated a 97.7% employment rate. 
n June 2012 the Government announced that the qualifying threshold required by an institution in order to gain full university status was to be lowered from 4,000 to 1,000 full-time higher education students. The Arts University College at Bournemouth satisfied this criterion for full university title and officially became Arts University Bournemouth (AUB) following approval from the Privy Council on 13 December 2012.",50.74,-1.9,http://aub.ac.uk
Liverpool Hope University,"Established:  2005 Two of the university's founding colleges, S. Katharine's (1844) and Notre Dame (1856) were established in the 19th century. These colleges were in Warrington and Liverpool City Centre respectively. These were among the first to provide opportunities for higher education to women. They were supplemented on Merseyside when a second Catholic teacher education college, Christ's College, on a site adjacent to St. Katharine's, admitted its first students in 1964. (Christ's was the first Catholic co-educational teachers' training college in England.)
In 1980, these three colleges joined in an ecumenical federation under the holding title of Liverpool Institute of Higher Education (LIHE). Archbishop Derek Worlock and Bishop David Sheppard wrote of this as being ""a sign of hope"".",0,0,www.hope.ac.uk
University of Portsmouth,"Established:  1869
The University has its roots in the Portsmouth and Gosport School of Arts and Sciences which opened in 1869, and is now one of the most successful of the UK's new Universities. Portsmouth's five faculties (Business, Creative and Cultural Industries, Science, Humanities and Technology) offer a wide range of courses, from Foundation to Postgraduate level in a wide variety of courses, from Art and Design, to International Relations, Translation, Psychology, Engineering and Business, and all are focussed on real-world skills that will help you in finding employment after you graduate.
The University of Portsmouth can guarantee International students a place in a University Hall of Residence for their first year of study, organise free airport pick-ups from Heathrow airport, run a two-week orientation programme when you first arrive and have International student advisors to assist you with any problems you might have once you are here. The University itself is right at the centre of the historic city of Portsmouth, on the South coast of England, just 90 minutes from London by train and 90 minutes from Heathrow airport. Voted one of the UK's safest Universities, the city also enjoys some of the sunniest weather in the country and the beach is only 10 minutes walk from many of the University buildings. ",50.79,-1.09,http://www.port.ac.uk
University of Lincoln,"Established:  1861 The University of Lincoln is a public university in the city of Lincoln, England. The university has origins tracing back to 1861, and after gaining university status in 1992, was known as the University of Humberside until 1996 and the University of Lincolnshire and Humberside until 2001, when it adopted its present name.
The Independent described the University as ""the best thing to happen to Lincoln since the Romans"". Lincoln has rapidly moved up in the university rankings, having risen 60 places in 4 years. The Sunday Times newspaper, responsible for The Times Good University Guide, has described the university's progression as ""the most dramatic transformation of a university in recent times."" In 2012, the university ranked in the top 50 of The Guardian University Guide for the first time.
It is the University of Lincoln's annual tradition for student graduation ceremonies to take place at the medieval Lincoln Cathedral.
*Please note that entry requirements vary on the course-to-course basis. More information can be obtained from UKuni consultants.Contact the UniWebsite:  www.lincoln.ac.ukEmail:  international@lincoln.ac.ukPhone:  +44 (0) 1522 886644",53.23,-0.54,http://www.lincoln.ac.uk
Bangor University,"Established:  1884 Bangor University is a Welsh university based in the city of Bangor in the county of Gwynedd in North Wales. It received its Royal charter in 1885 and was one of the founding member institutions of the former federal University of Wales. 
In 2012 Bangor was ranked 251 of the world's top universities. According to the Sunday Times University Guide 2012, it is rated top in Wales for teaching excellence and places in the top 15 UK universities in this category.",53.23,-4.13,http://www.bangor.ac.uk
University of West London,"Established:  1991 The University of West London is a public university in the United Kingdom which has campuses in Ealing and Brentford in London, as well as in Reading and Slough in Berkshire.
The university has roots back to 1860, when the Lady Byron School was founded, which later became Ealing College of Higher Education. In 1990, Ealing College of Higher Education, Thames Valley College of Higher Education, Queen Charlotte's College of Health Care Studies and the London College of Music merged to form the Polytechnic of West London. In 1992, the Polytechnic of West London became a university and adopted the name Thames Valley University. In 2004, Thames Valley merged with Reading College and School of Arts and Design. A former campus in Slough was closed in 2010.
In August 2010, the university announced that it had been granted permission to change its name to the University of West London, to reflect a focusing of operations onto its Ealing and Brentford campuses. The new name was formally adopted in April 2011.",51.51,-0.3,http://www.uwl.ac.uk
University of the West of England,"Established:  1992 The University of the West of England is a university located near the city of Bristol, United Kingdom.
The University of the West of England's main campus is at Frenchay near Bristol. UWE also has campuses at St Matthias and Glenside in north-east Bristol and Bower Ashton, near Ashton Court in south-west Bristol.
With around 25,000 students and 3,000 academic staff, UWE is the larger of the two universities in Bristol (the longer established University of Bristol has approximately 18,000 students).",51.5,-2.55,http://www.uwe.ac.uk
University for the Creative Arts,"Established:  2005 Oscar-winning film makers, world-renowned fashion designers, television presenters, celebrity jewellers and Turner Prize nominees are just some of the high-profile graduates from the University for the Creative Arts.
As a specialist university, it has created a unique community for its students, where like-minded people can share in the creative process and inspire one another. Collaboration between courses is encouraged, with fine artists studying with budding film-makers, and fashion designers working alongside architects. In this way, UCA students benefit from exposure to a range of disciplines.
The University of the Creative Arts campuses are home to workshops for ceramics, glass, wood and metals where students can experiment under the supervision of technicians with extensive industry experience in their field. There is extensive studio space in painting, sculpture, fashion and film-making; radio and TV facilities for trainee journalists; stop motion equipment for animators; and an industry-standard Gerber suite for fashion pattern cutting.",51.22,-0.81,http://www.ucreative.co.uk
Brunel University London,"Established:  1966 Brunel University (informally Brunel) is a public research university located in Uxbridge, London, United Kingdom. It was founded in 1966 and is named after the Victorian engineer Isambard Kingdom Brunel.
Brunel is a campus university located on the outskirts of Uxbridge. It is organised into eight constituent academic schools and around 10 research institutes. Brunel has around 15,200 full-time students and 2,500 staff.
Brunel's origins lie in Acton Technical College, which was founded in 1928. In 1957, Brunel College of Technology separated from Acton Technical College with a focus on the education of engineers. Brunel College of Technology was awarded the status ofCollege of Advanced Technology in 1960 and became Brunel College of Advanced Technology in 1962. In June 1966, Brunel College of Advanced Technology was awarded a Royal Charter and became Brunel University.
*Please note that entry requirements vary on the course-to-course basis. More information can be obtained from UKuni consultants.Contact the UniWebsite:  www.brunel.ac.ukEmail:  http://www.brunel.ac.uk/courses/admissions/contactPhone:  +44 (0)1895 265519",51.53,-0.47,http://www.brunel.ac.uk
Norwich University of the Arts,"Established:  1845 Norwich University of the Arts (commonly NUA) is a higher education specialist art, design and media university, based on a single site in the centre of Norwich, in the United Kingdom.
The Vice-Chancellor is Professor John Last and the first Chancellor, appointed on the promotion of the institution to university status in January 2013, Sir John Hurt.
Undergraduate courses are offered in a range of art and design fields, including Animation, Architecture, Design for Publishing, Fashion, Fashion Communication and Promotion, Film and Moving Image Publishing, Fine Art, Games Art and Design, Graphic Communication, Graphic Design, Illustration, Photography, Textile Design and VFX. Four year degrees are offered in the fields of Film and Moving Image Production, Fine Art, Games Art and Design, and Graphic Design.
Postgraduate courses include MAs in Communication Design, Curation, Fashion, Fine Art, Games, Moving Image and Sound, Photography, and Textile Design.",52.63,-1.23,http://www.nua.ac.uk/
